"AX2"	"AX3"	"AX4"	"AX5"	"DPS1"	"DPS2"	"DPS3"	"DPS4"	"DPS5"	"DVM1"	"DVM2"	"DVM4"	"DVM5"	"DVM6"
"Sro1000_g229710.1"	35	31	57	82	54	69	33	41	77	1	11	27	19	21
"Sro1000_g229720.1"	22	2	18	22	10	8	24	25	30	0	9	8	0	11
"Sro1000_g229730.1"	1	0	4	6	8	12	0	4	0	0	0	0	3	0
"Sro1000_g229740.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1001_g229750.1"	5	0	0	0	0	2	0	0	0	2	0	0	0	0
"Sro1001_g229760.1"	14	29	29	79	43	12	13	4	14	4	19	3	0	60
"Sro1001_g229770.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1001_g229780.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1001_g229790.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1001_g229800.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1002_g229810.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1002_g229820.1"	2	1	9	6	4	1	2	3	11	0	3	0	0	5
"Sro1002_g229830.1"	11	1	26	15	41	4	5	6	2	0	3	5	0	35
"Sro1002_g229840.1"	31	17	33	26	0	33	2	8	19	11	13	3	0	11
"Sro1002_g229850.1"	0	2	11	2	0	0	0	0	0	5	10	0	0	0
"Sro1002_g229860.1"	168	184	418	447	468	107	104	141	244	46	73	56	25	114
"Sro1002_g229870.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1002_g229870.2"	0	0	0	0	6	4	0	0	7	0	0	0	0	0
"Sro1002_g229870.3"	3	0	1	3	0	0	0	0	0	0	0	3	0	0
"Sro1002_g229870.4"	0	0	7	0	0	0	0	0	0	0	0	0	0	0
"Sro1002_g229880.1"	38	23	65	68	68	2	26	22	29	5	8	2	0	32
"Sro1002_g229881.1"	0	0	0	3	9	0	2	0	1	0	0	0	0	0
"Sro1002_g229890.1"	16	6	17	28	48	4	8	2	4	4	3	10	5	7
"Sro1002_g229900.1"	100	50	101	122	70	58	39	53	93	3	15	4	10	88
"Sro1002_g229910.1"	32	3	13	17	18	12	0	10	20	10	0	0	0	3
"Sro1002_g229920.1"	0	1	0	5	0	0	0	0	0	0	0	0	0	2
"Sro1002_g229930.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1003_g229940.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1003_g229950.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1003_g229960.1"	3	0	0	4	10	0	5	0	9	0	0	0	0	1
"Sro1003_g229970.1"	1	3	13	3	14	0	0	0	3	0	0	0	0	15
"Sro1003_g229980.1"	4	0	0	0	11	0	0	0	0	0	0	0	0	0
"Sro1003_g229990.1"	0	1	0	0	0	0	0	0	0	0	0	0	0	1
"Sro1003_g230000.1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1003_g230010.1"	24	10	58	59	32	10	11	21	26	19	14	23	1	53
"Sro1003_g230020.1"	0	8	15	9	1	2	3	10	5	0	0	11	0	14
"Sro1003_g230030.1"	6	11	22	15	6	17	2	16	18	0	2	7	7	9
"Sro1003_g230040.1"	44	30	62	18	13	27	18	19	30	16	29	27	0	15
"Sro1003_g230050.1"	9	8	42	87	37	27	5	10	27	0	44	0	7	63
"Sro1003_g230060.1"	28	29	51	70	55	19	16	28	21	4	20	11	5	23
"Sro1003_g230070.1"	34	15	42	54	42	6	5	20	28	9	16	2	9	35
"Sro1003_g230080.1"	9	9	10	32	12	48	8	5	49	1	16	0	0	38
"Sro1004_g230090.1"	3	2	12	7	3	0	0	0	3	0	1	0	0	0
"Sro1004_g230100.1"	43	17	16	86	31	13	9	14	17	7	2	2	9	17
"Sro1004_g230110.1"	40	40	59	95	5	14	6	4	24	9	23	0	0	24
"Sro1004_g230120.1"	41	38	123	110	3	36	15	5	7	11	37	13	0	29
"Sro1004_g230130.1"	0	10	16	27	0	1	0	0	0	0	0	0	0	7
"Sro1004_g230140.1"	0	25	0	50	0	0	0	0	0	0	0	0	0	1
"Sro1004_g230150.1"	0	0	10	0	5	0	0	0	0	0	0	3	0	2
"Sro1004_g230150.2"	5	6	4	16	23	0	0	0	5	0	0	0	0	4
"Sro1004_g230160.1"	42	36	70	118	72	12	19	18	53	0	17	20	13	35
"Sro1004_g230170.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1005_g230180.1"	0	0	0	6	0	3	0	3	2	0	1	0	0	0
"Sro1005_g230190.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1005_g230200.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1005_g230200.2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1005_g230210.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1005_g230220.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1005_g230230.1"	13	2	4	9	32	1	1	0	0	2	6	0	0	23
"Sro1005_g230231.1"	85	108	163	461	536	363	125	223	429	126	158	69	49	367
"Sro1005_g230240.1"	2	0	0	4	9	6	2	4	7	2	3	0	0	9
"Sro1005_g230250.1"	439	382	657	1446	888	609	402	462	875	206	418	309	290	866
"Sro1005_g230260.1"	0	0	0	0	6	0	0	0	0	0	0	0	0	0
"Sro1005_g230270.1"	15	6	5	40	21	11	0	4	28	2	5	0	0	13
"Sro1005_g230280.1"	29	7	53	33	32	7	6	7	14	0	10	5	4	27
"Sro1006_g230290.1"	0	0	0	3	0	0	0	0	0	0	0	0	0	0
"Sro1006_g230300.1"	0	1	9	5	0	1	3	1	0	0	0	0	0	0
"Sro1006_g230310.1"	10	15	40	9	0	0	0	1	2	6	18	6	0	0
"Sro1006_g230320.1"	0	13	20	47	11	0	5	5	8	0	0	0	3	10
"Sro1006_g230330.1"	108	68	183	230	112	112	70	48	99	18	70	27	39	143
"Sro1006_g230340.1"	0	1	0	10	8	0	3	1	0	0	0	0	0	2
"Sro1006_g230350.1"	0	0	0	0	0	0	0	0	3	0	0	0	0	0
"Sro1007_g230360.1"	0	3	36	19	51	5	12	5	6	0	0	7	0	0
"Sro1007_g230370.1"	0	0	0	0	0	0	5	0	0	0	0	4	0	0
"Sro1007_g230380.1"	0	4	11	24	26	11	1	5	3	6	9	1	0	20
"Sro1007_g230390.1"	7	4	21	29	26	0	12	14	0	0	10	4	5	23
"Sro1007_g230400.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1007_g230410.1"	43	24	0	25	58	0	0	0	0	0	0	0	2	0
"Sro1007_g230420.1"	41	11	116	42	49	14	6	14	35	0	15	0	1	31
"Sro1007_g230430.1"	15	3	30	13	6	2	0	9	0	12	0	0	10	6
"Sro1007_g230440.1"	71	45	94	112	109	59	33	35	84	3	27	36	12	65
"Sro1007_g230450.1"	74	69	160	241	114	108	33	87	132	58	76	32	55	156
"Sro1007_g230460.1"	5	2	0	6	4	8	0	1	1	0	3	0	0	5
"Sro1007_g230461.1"	1	3	6	6	0	0	2	4	1	0	2	0	0	7
"Sro1007_g230470.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Sro1007_g230480.1"	0	2	0	0	0	0	0	5	3	0	0	4	0	10
"Sro1007_g230490.1"	3	0	0	5	0	0	0	0	0	0	0	0	0	0
"Sro1008_g230500.1"	57	44	106	242	112	93	36	54	137	30	77	19	20	259
"Sro1008_g230510.1"	7	1	0	11	12	4	6	2	19	0	5	0	0	8
"Sro1008_g230520.1"	1	4	7	2	5	4	4	1	4	8	0	2	0	10
"Sro1008_g230530.1"	7	0	3	18	29	2	8	11	6	9	0	0	0	11
"Sro1008_g230540.1"	11	0	5	7	0	0	0	6	0	0	0	0	0	0
"Sro1008_g230550.1"	0	0	0	4	0	0	0	0	0	0	1	0	0	0
"Sro1008_g230560.1"	0	0	10	4	36	0	0	0	0	0	0	0	4	0
"Sro1008_g230570.1"	0	0	2	0	5	0	0	5	0	0	0	0	0	0
"Sro1008_g230580.1"	11	15	11	15	18	4	5	1	11	0	0	3	12	16
"Sro1008_g230590.1"	0	2	5	2	0	0	0	0	3	0	5	0	3	5
"Sro1008_g230600.1"	1	0	1	5	9	3	4	0	0	0	0	8	0	0
"Sro1008_g230610.1"	3	0	9	7	22	1	0	1	9	0	0	3	2	15
"Sro1008_g230620.1"	7	21	26	20	23	13	4	4	31	0	5	7	10	8
"Sro1008_g230630.1"	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"Sro1008_g230640.1"	41	33	105	74	51	14	10	9	46	6	19	12	8	21
"Sro1009_g230650.1"	14	14	24	3	15	5	0	11	2	0	0	0	5	1
"Sro1009_g230660.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1009_g230670.1"	0	0	0	0	0	0	0	0	0	0	0	0	3	0
"Sro1009_g230680.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1009_g230690.1"	0	0	6	0	0	0	0	2	0	0	0	0	0	4
"Sro1009_g230700.1"	8	6	24	16	0	0	2	8	6	0	4	0	0	5
"Sro1009_g230710.1"	0	0	0	10	0	0	0	3	0	0	0	0	3	0
"Sro1009_g230720.1"	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1009_g230730.1"	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Sro1009_g230740.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1009_g230750.1"	9	0	0	12	7	0	0	0	2	0	0	0	0	6
"Sro1009_g230760.1"	0	1	0	2	0	0	0	0	0	0	0	0	0	0
"Sro1009_g230770.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro100_g008401.1"	0	0	0	0	0	0	0	1	3	0	5	0	0	0
"Sro100_g051080.1"	27	28	29	105	24	6	10	6	23	5	10	0	8	10
"Sro100_g051090.1"	11	11	60	25	7	2	15	12	16	0	7	3	0	29
"Sro100_g051100.1"	9	3	24	36	34	2	13	4	13	5	2	11	0	10
"Sro100_g051110.1"	0	1	0	2	0	1	4	3	0	0	2	0	0	0
"Sro100_g051120.1"	0	0	14	5	0	5	0	0	0	1	0	3	0	0
"Sro100_g051130.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro100_g051130.2"	0	0	0	0	0	0	0	0	0	0	0	5	0	0
"Sro100_g051140.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro100_g051150.1"	0	0	0	1	21	4	6	7	0	0	15	0	0	9
"Sro100_g051160.1"	81	32	71	110	39	34	32	34	61	23	25	28	14	77
"Sro100_g051160.2"	0	8	0	45	0	0	0	0	0	0	0	0	0	0
"Sro100_g051170.1"	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Sro100_g051171.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	3
"Sro100_g051180.1"	17	32	8	27	29	9	3	5	12	2	9	13	0	15
"Sro100_g051190.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro100_g051200.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro100_g051210.1"	0	0	0	9	0	0	0	2	0	0	0	0	0	3
"Sro100_g051220.1"	4	2	7	4	3	6	0	5	3	0	0	0	0	0
"Sro100_g051230.1"	10	18	15	42	40	21	4	6	11	2	5	8	6	12
"Sro100_g051240.1"	24	4	19	22	14	4	8	16	9	3	5	11	0	7
"Sro100_g051250.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro100_g051260.1"	37	16	113	54	23	25	22	8	35	2	6	3	9	24
"Sro100_g051270.1"	31	10	26	45	39	6	4	11	42	5	12	3	11	49
"Sro100_g051280.1"	27	22	48	83	48	27	29	18	68	9	33	9	7	35
"Sro100_g051290.1"	47	17	97	178	101	95	34	51	68	54	112	27	9	132
"Sro100_g051300.1"	8	1	7	17	0	3	0	0	9	9	9	0	1	2
"Sro100_g051310.1"	0	0	0	0	0	0	0	0	0	0	0	5	1	7
"Sro100_g051310.2"	6	12	11	23	4	4	7	17	9	3	3	4	0	18
"Sro100_g051320.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro100_g051330.1"	15	8	14	38	9	5	7	0	3	5	12	3	0	9
"Sro100_g051340.1"	3	11	26	39	23	13	0	4	11	0	9	7	0	17
"Sro100_g051350.1"	67	37	106	212	10	21	19	27	64	0	4	1	10	35
"Sro100_g051360.1"	11	7	15	11	11	14	2	3	13	0	15	17	0	8
"Sro100_g051370.1"	68	22	98	109	46	34	18	30	62	8	15	8	2	31
"Sro100_g051380.1"	27	13	86	73	36	28	11	30	34	0	1	10	5	14
"Sro100_g051390.1"	181	80	137	290	111	85	63	62	218	10	70	56	15	133
"Sro100_g051400.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro100_g051410.1"	7	3	6	8	10	7	1	0	2	0	0	4	0	0
"Sro100_g051420.1"	26	18	11	55	29	20	7	11	14	0	10	2	0	11
"Sro100_g051430.1"	0	1	19	9	0	3	1	0	8	0	2	1	0	0
"Sro1010_g230780.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro1010_g230790.1"	11	0	1	0	0	0	0	4	3	0	0	0	0	0
"Sro1010_g230800.1"	0	0	5	0	0	6	0	0	4	0	0	0	0	0
"Sro1010_g230810.1"	32	32	117	164	71	58	23	60	93	28	25	6	12	67
"Sro1010_g230820.1"	13	10	17	39	14	11	5	11	32	3	16	0	2	17
"Sro1010_g230830.1"	5	0	0	9	5	0	3	0	0	0	2	2	0	2
